Music_City,Sound/Music_City
Music_City_Boss,Sound/Music_City_Boss
Music_Damage_Plane_Coming,Sound/Music_Damage_Plane_Coming
Music_Dragon_Fire,Sound/Music_Dragon_Fire
Music_Dragon_Fly,Sound/Music_Dragon_Fly
Music_Enemy_Fire,Sound/Music_Enemy_Fire
Music_Enemy_Fly,Sound/Music_Enemy_Fly
Music_Gorge,Sound/Music_Gorge
Music_Gorge_Boss,Sound/Music_Gorge_Boss
Music_Laser,Sound/Music_Laser
Music_Loading,Sound/Music_Loading
Music_Panel_Coin,Sound/Music_Panel_Coin
Music_Panel_Select_Map,Sound/Music_Panel_Select_Map
Music_Panel_Select_Plane,Sound/Music_Panel_Select_Plane
Music_Player0,Sound/Music_Player0
Music_Player0_TakeOff,Sound/Music_Player0_TakeOff
Music_Player1,Sound/Music_Player1
Music_Player1_TakeOff,Sound/Music_Player1_TakeOff
Music_Player2,Sound/Music_Player2
Music_Player2_TakeOff,Sound/Music_Player2_TakeOff
Music_Player_Lift,Sound/Music_Player_Lift
Music_Speed_Up,Sound/Music_Speed_Up
Music_Spray_Sound,Sound/Music_Spray_Sound
Music_Summary,Sound/Music_Summary
Music_Summary_Score,Sound/Music_Summary_Score
Music_Summary_Star,Sound/Music_Summary_Star
Music_Ticket,Sound/Music_Ticket
Music_Time_CountDown,Sound/Music_Time_CountDown
Music_Time_CountDown_end,Sound/Music_Time_CountDown_end
Music_WaterFull_Sound,Sound/Music_WaterFull_Sound
Person_Sound_Boss_Attack0_ch,Sound/Person_Sound_Boss_Attack0_ch
Person_Sound_Boss_Attack0_en,Sound/Person_Sound_Boss_Attack0_en
Person_Sound_Boss_Attack1_ch,Sound/Person_Sound_Boss_Attack1_ch
Person_Sound_Boss_Attack1_en,Sound/Person_Sound_Boss_Attack1_en
Person_Sound_Boss_Attack2_ch,Sound/Person_Sound_Boss_Attack2_ch
Person_Sound_Boss_Attack2_en,Sound/Person_Sound_Boss_Attack2_en
Person_Sound_Choose_Map_ch,Sound/Person_Sound_Choose_Map_ch
Person_Sound_Choose_Map_en,Sound/Person_Sound_Choose_Map_en
Person_Sound_Choose_Plane_ch,Sound/Person_Sound_Choose_Plane_ch
Person_Sound_Choose_Plane_en,Sound/Person_Sound_Choose_Plane_en
Person_Sound_City_Boss_Be_Destroyed_ch,Sound/Person_Sound_City_Boss_Be_Destroyed_ch
Person_Sound_City_Boss_Be_Destroyed_en,Sound/Person_Sound_City_Boss_Be_Destroyed_en
Person_Sound_Fix_ch,Sound/Person_Sound_Fix_ch
Person_Sound_Fix_en,Sound/Person_Sound_Fix_en
Person_Sound_Friend_Coming_ch,Sound/Person_Sound_Friend_Coming_ch
Person_Sound_Friend_Coming_en,Sound/Person_Sound_Friend_Coming_en
Person_Sound_Gorge_Boss_Be_Destroyed_ch,Sound/Person_Sound_Gorge_Boss_Be_Destroyed_ch
Person_Sound_Gorge_Boss_Be_Destroyed_en,Sound/Person_Sound_Gorge_Boss_Be_Destroyed_en
Person_Sound_Guided_ch,Sound/Person_Sound_Guided_ch
Person_Sound_Guided_en,Sound/Person_Sound_Guided_en
Person_Sound_Honour0_ch,Sound/Person_Sound_Honour0_ch
Person_Sound_Honour0_en,Sound/Person_Sound_Honour0_en
