Coin,Model/Coin
Diamond,Model/Diamond
Effect_Aerolite_baoz,Model/Effect_Aerolite_baoz
Effect_Boss_City_Dead,Model/Effect_Boss_City_Dead
Effect_diji_Plane_baoz,Model/Effect_diji_Plane_baoz
Effect_Dust,Model/Effect_Dust
Effect_Enemy_2_baoz,Model/Effect_Enemy_2_baoz
Effect_Fire,Model/Effect_Fire
Effect_mine_bomb,Model/Effect_mine_bomb
Effect_Missile,Model/Effect_Missile
Effect_Player,Model/Effect_Player
Effect_Spark,Model/Effect_Spark
Effect_Stars,Model/Effect_Stars
Effect_Tail,Model/Effect_Tail
Effect_Water,Model/Effect_Water
Effect_WBullet_Dead,Model/Effect_WBullet_Dead
Effect_WMissle_baoz,Model/Effect_WMissle_baoz
Effect_WStone_Born,Model/Effect_WStone_Born
Engine,Model/Engine
Fix,Model/Fix
Fuel,Model/Fuel
Glow,Model/Glow
Magnet,Model/Magnet
Mine,Model/Mine
Missile,Model/Missile
Player0,Model/Player0
Player1,Model/Player1
Player2,Model/Player2
Shield,Model/Shield
Wall,Model/Wall
WBullet,Model/WBullet
WFireBall,Model/WFireBall
WMissle,Model/WMissle
WMissle2,Model/WMissle2
WStone,Model/WStone
